orig_location,address_clean,latitude,longitude
1451 N DEARBORN PKWY,"1451 N DEARBORN PKWY Chicago, IL.",41.90867072,-87.63005338
1165 N CLARK ST,"1165 N CLARK ST Chicago, IL.",41.90343658,-87.63135555
921 N DEARBORN ST,"921 N DEARBORN ST Chicago, IL.",41.89970021,-87.62977805
1154 N WELLS ST,"1154 N WELLS ST Chicago, IL.",41.90340527,-87.6345375
51 E ILLINOIS ST,"51 E ILLINOIS ST Chicago, IL.",41.89081386,-87.6273501
450 E GRAND AVE,"450 E GRAND AVE Chicago, IL.",41.89191742,-87.61673346
1016 N DEARBORN ST,"1016 N DEARBORN ST Chicago, IL.",41.90082082,-87.62997483
1541 N WELLS ST,"1541 N WELLS ST Chicago, IL.",41.91007269,-87.63459713
1134 N DEARBORN ST,"1134 N DEARBORN ST Chicago, IL.",41.90287326,-87.63003314
1146 W HUBBARD ST,"1146 W HUBBARD ST Chicago, IL.",41.89005444,-87.65642171
1221 N DEARBORN PKWY,"1221 N DEARBORN PKWY Chicago, IL.",41.90433914,-87.6299214
0 S STATE ST,"1 S STATE ST Chicago, IL.",41.8816522,-87.62768203
6 E KINZIE ST,"6 E KINZIE ST Chicago, IL.",41.88931529,-87.62779187
15 E KINZIE ST,"15 E KINZIE ST Chicago, IL.",41.88920592,-87.62739565
1201 N CLARK ST,"1201 N CLARK ST Chicago, IL.",41.86724305,-87.63035524
1434 W HUBBARD ST,"1434 W HUBBARD ST Chicago, IL.",41.88999867,-87.66364785
135 S CLARK ST,"135 S CLARK ST Chicago, IL.",41.87983738,-87.63075471
125 S CLARK ST,"125 S CLARK ST Chicago, IL.",41.87989457,-87.63075598
840 N WABASH AVE,"840 N WABASH AVE Chicago, IL.",41.8978787,-87.62696233
708 S CLARK ST,"708 S CLARK ST Chicago, IL.",41.87299472,-87.63070772
714 S CLARK ST,"714 S CLARK ST Chicago, IL.",41.87294756,-87.63070639
46 W CHICAGO AVE,"46 W CHICAGO AVE Chicago, IL.",41.89671015,-87.62991769
1111 S STATE ST,"1111 S STATE ST Chicago, IL.",41.86896235,-87.62730982
1011 S STATE ST,"1011 S STATE ST Chicago, IL.",41.86981253,-87.62733281
1001 S STATE ST,"1001 S STATE ST Chicago, IL.",41.86987175,-87.62733281
927 S STATE ST,"927 S STATE ST Chicago, IL.",41.87031046,-87.62734063
11 E 9TH ST,"11 E 9TH ST Chicago, IL.",41.87046565,-87.6272055
15 E 9TH ST,"15 E 9TH ST Chicago, IL.",41.87046686,-87.62715009
1548 N WELLS ST,"1548 N WELLS ST Chicago, IL.",41.91020439,-87.63475514
1458 N CLARK ST,"1458 N CLARK ST Chicago, IL.",41.90885795,-87.63167152
61 E 9TH ST,"61 E 9TH ST Chicago, IL.",41.87048448,-87.62642925
837 S STATE ST,"837 S STATE ST Chicago, IL.",41.87132142,-87.62736665
825 S STATE ST,"825 S STATE ST Chicago, IL.",41.87146497,-87.62737087
1522 N HALSTED ST,"1522 N HALSTED ST Chicago, IL.",41.90889649,-87.64829917
750 S STATE ST,"750 S STATE ST Chicago, IL.",41.87268676,-87.62771246
652 S STATE ST,"652 S STATE ST Chicago, IL.",41.87446114,-87.6277432
1120 N STATE ST,"1120 N STATE ST Chicago, IL.",41.902521,-87.62846423
614 S PLYMOUTH CT,"614 S PLYMOUTH CT Chicago, IL.",41.87434079,-87.62876073
618 S PLYMOUTH CT,"618 S PLYMOUTH CT Chicago, IL.",41.87429929,-87.62875992
640 S PLYMOUTH CT,"640 S PLYMOUTH CT Chicago, IL.",41.87407106,-87.62875547
